Company_Name,Ticker,Listed_Date,Listing_Year,Exchange,Current_Price,Listing_Gain_Pct,Overall_Gain_Pct,Performance_Status
K M C Speciality Hospitals (India) Limited,KMCSHIL.NS,2026-08-17,2026,NSE Main Board,141.97,,,🟢 Trading Active
KJMC Financial Services Limited,KJMCFIN.NS,2026-08-17,2026,NSE Main Board,61.99,,,🟢 Trading Active
KSE Limited,KSE.NS,2026-08-17,2026,NSE Main Board,198.82,,,🟢 Trading Active
Kama Holdings Limited,KAMAHOLD.NS,2026-04-20,2026,NSE Main Board,2448.5,,,🟢 Trading Active
Kamanwala Housing Construction Limited,KAMANWALA.NS,2026-08-17,2026,NSE Main Board,16.26,,,🟢 Trading Active
Kanchi Karpooram Limited,KANCHI.NS,2026-04-20,2026,NSE Main Board,374.0,,,🟢 Trading Active
Kanco Tea & Industries Limited,KANCOTEA.NS,2026-08-17,2026,NSE Main Board,48.48,,,🟢 Trading Active
Kennametal India Limited,KENNAMET.NS,2026-04-20,2026,NSE Main Board,3502.2,,,🟢 Trading Active
Kilburn Engineering Limited,KLBRENG-B.NS,2026-04-20,2026,NSE Main Board,362.75,,,🟢 Trading Active
Kiran Vyapar Limited,KIRANVYPAR.NS,2026-04-20,2026,NSE Main Board,196.31,,,🟢 Trading Active
Kirloskar Ferrous Industries Limited,KIRLFER.NS,2026-04-20,2026,NSE Main Board,435.85,,,🟢 Trading Active
Knack Packaging Limited,KNACK.NS,2026-07-08,2026,NSE Main Board,204.19,,,🟢 Trading Active
Kothari Industrial Corporation Limited,KOTIC.NS,2026-04-20,2026,NSE Main Board,145.08,,,🟢 Trading Active
Kotyark Industries Limited,KOTYARK.NS,2026-03-12,2026,NSE Main Board,36.36,,,🟢 Trading Active
Kovai Medical Center & Hospital Limited,KOVAI.NS,2026-04-20,2026,NSE Main Board,6013.0,,,🟢 Trading Active
Kusumgar Limited,KUSUMGAR.NS,2026-07-15,2026,NSE Main Board,595.0,,,🟢 Trading Active
Kwality Pharmaceuticals Limited,KPL.NS,2026-04-20,2026,NSE Main Board,3532.6,,,🟢 Trading Active
Kwality Wall's (India) Limited,KWIL.NS,2026-02-16,2026,NSE Main Board,38.1,,,🟢 Trading Active
LEAP India Limited,LEAPIND.NS,2026-08-14,2026,NSE Main Board,160.3,,,🟢 Trading Active
LKP Securities Limited,LKPSEC.NS,2026-08-17,2026,NSE Main Board,16.76,,,🟢 Trading Active
Ladderup Finance Limited,LADDERUP.NS,2026-08-17,2026,NSE Main Board,50.33,,,🟢 Trading Active
Lahoti Overseas Limited,LAHOTIOV.NS,2026-04-20,2026,NSE Main Board,42.28,,,🟢 Trading Active
Lakshmi Mills Company Limited,LAKSHMIMIL.NS,2026-08-17,2026,NSE Main Board,8001.5,,,🟢 Trading Active
Lancer Container Lines Limited,LANCER.NS,2026-08-17,2026,NSE Main Board,10.92,,,🟢 Trading Active
Laser Power & Infra Limited,LASERPOWER.NS,2026-07-16,2026,NSE Main Board,327.6,,,🟢 Trading Active
Lee & Nee Softwares Exports Limited,LEENEE.NS,2026-08-17,2026,NSE Main Board,7.58,,,🟢 Trading Active
Lohia Corp Limited,LCL.NS,2026-07-30,2026,NSE Main Board,573.0,,,🟢 Trading Active
Lotus Chocolate Company Limited,LOTUSCHO.NS,2026-08-17,2026,NSE Main Board,616.8,,,🟢 Trading Active
M.K. Exim (India) Limited,MKEXIM.NS,2026-08-17,2026,NSE Main Board,53.91,,,🟢 Trading Active
MPDL Limited,MPDL.NS,2026-08-17,2026,NSE Main Board,28.6,,,🟢 Trading Active
MV Electrosystems Limited,MVELECTRO.NS,2026-08-06,2026,NSE Main Board,574.1,,,🟢 Trading Active
Mac Charles India Limited,MCCHRLS-B.NS,2026-04-20,2026,NSE Main Board,660.0,,,🟢 Trading Active
Madhav Infra Projects Limited,MADHAVIPL.NS,2026-04-20,2026,NSE Main Board,7.24,,,🟢 Trading Active
Mafatlal Industries Limited,MAFATIND.NS,2026-04-20,2026,NSE Main Board,122.53,,,🟢 Trading Active
Majestic Auto Limited,MAJESAUT.NS,2026-04-20,2026,NSE Main Board,352.55,,,🟢 Trading Active
Makers Laboratories Limited,MAKERSL.NS,2026-08-17,2026,NSE Main Board,159.83,,,🟢 Trading Active
Manbro Industries Limited,MANBRO.NS,2026-08-17,2026,NSE Main Board,53.1,,,🟢 Trading Active
Mangalam Seeds Limited,MSL.NS,2026-08-17,2026,NSE Main Board,145.0,,,🟢 Trading Active
Manipal Health Enterprises Limited,MANIPALHOS.NS,2026-08-05,2026,NSE Main Board,724.8,,,🟢 Trading Active
Marsons Limited,MARSONS.NS,2026-03-13,2026,NSE Main Board,102.31,,,🟢 Trading Active
Medi Caps Limited,MEDICAPQ.NS,2026-08-17,2026,NSE Main Board,25.05,,,🟢 Trading Active
Media Matrix Worldwide Limited,MMWL.NS,2026-04-20,2026,NSE Main Board,14.91,,,🟢 Trading Active
Meghna Infracon Infrastructure Limited,MIIL.NS,2026-08-17,2026,NSE Main Board,707.9,,,🟢 Trading Active
Menon Pistons Limited,MENNPIS.NS,2026-04-20,2026,NSE Main Board,71.53,,,🟢 Trading Active
