Company_Name,Ticker,Listed_Date,Listing_Year,Exchange,Current_Price,Listing_Gain_Pct,Overall_Gain_Pct,Performance_Status
SGL Resources Limited,SGLRES.NS,2026-08-17,2026,NSE Main Board,2.47,,,🟢 Trading Active
SPEL Semiconductor Limited,SPELS.NS,2026-08-17,2026,NSE Main Board,148.87,,,🟢 Trading Active
Sai Capital Limited,SAICAPI.NS,2026-08-17,2026,NSE Main Board,151.33,,,🟢 Trading Active
Sai Parenteral's Limited,SAIPARENT.NS,2026-04-02,2026,NSE Main Board,542.05,,,🟢 Trading Active
Sai Parenterals Limited,SAIPARENT.NS,2026-04-02,2026,NSE Main Board,542.05,,,🟢 Trading Active
Saint Gobain Sekurit India Limited,SEKURITIND.NS,2026-08-17,2026,NSE Main Board,121.66,,,🟢 Trading Active
Sambandam Spinning Mills Limited,SAMBANDAM.NS,2026-08-17,2026,NSE Main Board,,,,⚪ Inactive / Unlisted
Saraswati Commercial India Limited,ZSARACOM.NS,2026-04-20,2026,NSE Main Board,13076.0,,,🟢 Trading Active
Sayaji Hotels Limited,SAYAJIHOTL.NS,2026-04-20,2026,NSE Main Board,315.4,,,🟢 Trading Active
Sayaji Industries Limited,SAYAJIIND.NS,2026-08-17,2026,NSE Main Board,109.7,,,🟢 Trading Active
Scan Steels Limited,SCANSTL.NS,2026-04-20,2026,NSE Main Board,62.69,,,🟢 Trading Active
Shadowfax Technologies Limited,SHADOWFAX.NS,2026-01-28,2026,NSE Main Board,257.38,,,🟢 Trading Active
Shalibhadra Finance Limited,SAHLIBHFI.NS,2026-04-10,2026,NSE Main Board,70.0,,,🟢 Trading Active
Shankara Buildpro Limited,BUILDPRO.NS,2026-01-09,2026,NSE Main Board,1270.1,,,🟢 Trading Active
Shanti Educational Initiatives Limited,SEIL.NS,2026-04-20,2026,NSE Main Board,205.69,,,🟢 Trading Active
Shanti Gold International Limited-RE,SHANTI-RE.NS,2026-08-14,2026,NSE Main Board,28.49,,,🟢 Trading Active
Sharat Industries Limited,SHINDL.NS,2026-04-20,2026,NSE Main Board,159.21,,,🟢 Trading Active
Shardul Securities Limited,SHARDUL.NS,2026-04-20,2026,NSE Main Board,53.93,,,🟢 Trading Active
Shervani Industrial Syndicate Limited,SHERVANI.NS,2026-08-17,2026,NSE Main Board,307.55,,,🟢 Trading Active
Shilp Gravures Limited,SHILGRAVQ.NS,2026-08-17,2026,NSE Main Board,161.89,,,🟢 Trading Active
Shiva Cement Limited,SHIVACEM.NS,2026-08-17,2026,NSE Main Board,16.8,,,🟢 Trading Active
Shiva Global Agro Industries Limited,SHIVAAGRO.NS,2026-08-17,2026,NSE Main Board,40.18,,,🟢 Trading Active
Shraddha Prime Projects Limited,SHRADDHA.NS,2026-08-17,2026,NSE Main Board,155.0,,,🟢 Trading Active
Shree Ajit Pulp & Paper Limited,SAPPL.NS,2026-04-20,2026,NSE Main Board,288.1,,,🟢 Trading Active
Shree Ganesh Remedies Limited,SGRL.NS,2026-08-17,2026,NSE Main Board,524.2,,,🟢 Trading Active
Shree Ram Twistex Limited,SRTL.NS,2026-03-02,2026,NSE Main Board,39.59,,,🟢 Trading Active
Shri Bajrang Alliance Limited,SHBAJRG.NS,2026-04-20,2026,NSE Main Board,177.13,,,🟢 Trading Active
Shri Jagdamba Polymers Limited,SHRJAGP.NS,2026-08-17,2026,NSE Main Board,700.8,,,🟢 Trading Active
Shri Krishna Devcon Limited,SHRIKRISH.NS,2026-04-20,2026,NSE Main Board,38.46,,,🟢 Trading Active
Shri Vasuprada Plantations Limited,VASUPRADA.NS,2026-08-17,2026,NSE Main Board,96.06,,,🟢 Trading Active
Shukra Pharmaceuticals Limited,SHUKRAPHAR.NS,2026-08-14,2026,NSE Main Board,41.55,,,🟢 Trading Active
Sicagen India Limited,SICAGEN.NS,2026-04-20,2026,NSE Main Board,54.84,,,🟢 Trading Active
Sika Interplant Systems Limited,SIKA.NS,2026-04-20,2026,NSE Main Board,1030.1,,,🟢 Trading Active
Simplex Realty Limited,SIMPLXREA.NS,2026-08-17,2026,NSE Main Board,130.0,,,🟢 Trading Active
Singer India Limited,SINGERIND.NS,2026-03-19,2026,NSE Main Board,78.7,,,🟢 Trading Active
Sonal Mercantile Limited,SONAL.NS,2026-04-20,2026,NSE Main Board,90.8,,,🟢 Trading Active
Sri KPR Industries Limited,SRIKPRIND.NS,2026-08-17,2026,NSE Main Board,20.69,,,🟢 Trading Active
Steel Strips Infrastructures Limited,STLSTRINF.NS,2026-08-17,2026,NSE Main Board,19.1,,,🟢 Trading Active
Sumedha Fiscal Services Limited,SUMEDHA.NS,2026-08-17,2026,NSE Main Board,39.45,,,🟢 Trading Active
Sunil Healthcare Limited,SUNLOC.NS,2026-08-17,2026,NSE Main Board,68.38,,,🟢 Trading Active
Sunrakshakk Industries India Limited,SUNRAKSHAK.NS,2026-08-17,2026,NSE Main Board,376.95,,,🟢 Trading Active
Sunshield Chemicals Limited,SUNSHIEL.NS,2026-08-17,2026,NSE Main Board,1262.4,,,🟢 Trading Active
Super Tannery Limited,SUPTANERY.NS,2026-08-17,2026,NSE Main Board,8.19,,,🟢 Trading Active
Superior Industrial Enterprises Limited,SIEL.NS,2026-08-17,2026,NSE Main Board,38.57,,,🟢 Trading Active
Suryalata Spinning Mills Limited,SURYALA.NS,2026-04-20,2026,NSE Main Board,382.95,,,🟢 Trading Active
Swaraj Suiting Limited,SWARAJ.NS,2026-08-13,2026,NSE Main Board,376.15,,,🟢 Trading Active
Swarnsarita Jewels India Limited,SWARNSAR.NS,2026-08-17,2026,NSE Main Board,33.98,,,🟢 Trading Active
Swiss Military Consumer Goods Limited,SWISSMLTRY.NS,2026-08-17,2026,NSE Main Board,14.01,,,🟢 Trading Active
TCC Concept Limited,TCC.NS,2026-02-25,2026,NSE Main Board,253.05,,,🟢 Trading Active
TGV Sraac Limited,TGVSL.NS,2026-08-17,2026,NSE Main Board,105.17,,,🟢 Trading Active
Taal Tech Limited,TAALTECH.NS,2026-04-20,2026,NSE Main Board,4196.2,,,🟢 Trading Active
Tamboli Industries Limited,TAMBOLIIN.NS,2026-04-20,2026,NSE Main Board,259.34,,,🟢 Trading Active
Taneja Aerospace & Aviation Limited,TANAA.NS,2026-08-17,2026,NSE Main Board,313.85,,,🟢 Trading Active
TechNVision Ventures Limited,TECHNVISN.NS,2026-04-20,2026,NSE Main Board,5014.4,,,🟢 Trading Active
Technocraft Ventures Limited,TECHNOCRAF.NS,2026-08-14,2026,NSE Main Board,304.79,,,🟢 Trading Active
Terai Tea Company Limited,TERAI.NS,2026-08-17,2026,NSE Main Board,124.0,,,🟢 Trading Active
Thacker & Company Limited,THACKER.NS,2026-04-20,2026,NSE Main Board,1054.7,,,🟢 Trading Active
Thakkers Developers Limited,THAKDEV.NS,2026-04-20,2026,NSE Main Board,154.79,,,🟢 Trading Active
The Indian Wood Products Company Limited,IWP.NS,2026-04-20,2026,NSE Main Board,33.81,,,🟢 Trading Active
Timex Group India Limited,TIMEX.NS,2026-04-20,2026,NSE Main Board,549.2,,,🟢 Trading Active
Toyam Sports Limited,TOYAMSL.NS,2026-08-17,2026,NSE Main Board,0.67,,,🟢 Trading Active
Transcorp International Limited,TRANSCOR.NS,2026-08-17,2026,NSE Main Board,24.61,,,🟢 Trading Active
Transpek Industry Limited,TRANSPEK.NS,2026-04-20,2026,NSE Main Board,1132.8,,,🟢 Trading Active
Triton Valves Limited,TRITONV.NS,2026-08-17,2026,NSE Main Board,1146.1,,,🟢 Trading Active
Turtlemint Fintech Solutions Limited,TURTLEMINT.NS,2026-06-29,2026,NSE Main Board,145.75,,,🟢 Trading Active
Tuticorin Alkali Chemicals & Fertilizers Limited,TUTIALKA.NS,2026-08-17,2026,NSE Main Board,56.33,,,🟢 Trading Active
U P Hotels Limited,UPHOT.NS,2026-08-17,2026,NSE Main Board,1448.0,,,🟢 Trading Active
Uday Jewellery Industries Limited,UDAYJEW.NS,2026-08-17,2026,NSE Main Board,144.97,,,🟢 Trading Active
Ultramarine & Pigments Limited,ULTRAMAR.NS,2026-04-20,2026,NSE Main Board,401.0,,,🟢 Trading Active
VEDAVAAG Systems Limited,VEDAVAAG.NS,2026-08-17,2026,NSE Main Board,18.98,,,🟢 Trading Active
VTM Limited,VTMLTD.NS,2026-08-17,2026,NSE Main Board,46.79,,,🟢 Trading Active
Vadilal Enterprises Limited,VADILENT.NS,2026-08-17,2026,NSE Main Board,10002.0,,,🟢 Trading Active
Vedanta Aluminium Metal Limited,VAML.NS,2026-06-15,2026,NSE Main Board,445.95,,,🟢 Trading Active
Vedanta Iron and Steel Limited,VISL.NS,2026-06-15,2026,NSE Main Board,37.41,,,🟢 Trading Active
Vedanta Oil and Gas Limited,VOGL.NS,2026-06-15,2026,NSE Main Board,37.14,,,🟢 Trading Active
Vedanta Power Limited,VEDPOWER.NS,2026-06-15,2026,NSE Main Board,36.18,,,🟢 Trading Active
Veljan Denison Limited,VELJAN.NS,2026-04-20,2026,NSE Main Board,1773.7,,,🟢 Trading Active
Vibrant Global Capital Limited,VGCL.NS,2026-08-17,2026,NSE Main Board,58.21,,,🟢 Trading Active
Vijay Solvex Limited,VIJSOLX.NS,2026-08-17,2026,NSE Main Board,700.0,,,🟢 Trading Active
Virat Industries Limited,VIRAT.NS,2026-08-17,2026,NSE Main Board,343.0,,,🟢 Trading Active
Virtual Global Education Limited,VIRTUALG.NS,2026-08-17,2026,NSE Main Board,0.42,,,🟢 Trading Active
Virtuoso Optoelectronics Limited,VOEPL.NS,2026-07-01,2026,NSE Main Board,477.85,,,🟢 Trading Active
Vishal Fabrics Limited,VISHAL.NS,2026-08-17,2026,NSE Main Board,17.98,,,🟢 Trading Active
Vital Chemtech Limited,VITAL.NS,2026-03-11,2026,NSE Main Board,51.33,,,🟢 Trading Active
Viviana Power Tech Limited,VIVIANA.NS,2026-06-02,2026,NSE Main Board,700.0,,,🟢 Trading Active
Vivo Bio Tech Limited,VIVOBIOT.NS,2026-08-17,2026,NSE Main Board,19.1,,,🟢 Trading Active
Voith Paper Fabrics India Limited,VOITHPAPR.NS,2026-08-17,2026,NSE Main Board,1492.3,,,🟢 Trading Active
WH Brady & Company Limited,WHBRADY.NS,2026-08-17,2026,NSE Main Board,507.0,,,🟢 Trading Active
WPIL Limited,WPIL.NS,2026-04-20,2026,NSE Main Board,426.35,,,🟢 Trading Active
Wardwizard Innovations & Mobility Limited,WARDINMOBI.NS,2026-08-17,2026,NSE Main Board,6.28,,,🟢 Trading Active
Waterbase Limited,WATERBASE.NS,2026-08-17,2026,NSE Main Board,46.32,,,🟢 Trading Active
Waterways Leisure Tourism Limited,CORDELIA.NS,2026-07-01,2026,NSE Main Board,830.0,,,🟢 Trading Active
Welspun Specialty Solutions Limited,WELSPLSOL.NS,2026-04-20,2026,NSE Main Board,47.96,,,🟢 Trading Active
Xtranet Technologies Limited,XTRANET.NS,2026-07-30,2026,NSE Main Board,168.97,,,🟢 Trading Active
Yogi Limited,YOGI.NS,2026-08-17,2026,NSE Main Board,155.82,,,🟢 Trading Active
ZF Steering Gear (India) Limited,ZFSTEERING.NS,2026-04-20,2026,NSE Main Board,679.8,,,🟢 Trading Active
A B Cotspin India Limited,ABCOTS.NS,2025-09-24,2025,NSE Main Board,217.4,,,🟢 Trading Active
Aditya Birla Lifestyle Brands Limited,ABLBL.NS,2025-06-23,2025,NSE Main Board,88.72,,,🟢 Trading Active
Aditya Infotech Limited,CPPLUS.NS,2025-08-05,2025,NSE Main Board,3342.0,,,🟢 Trading Active
Advance Agrolife Limited,ADVANCE.NS,2025-10-08,2025,NSE Main Board,117.96,,,🟢 Trading Active
Advent Hotels International Limited,ADVENTHTL.NS,2025-11-13,2025,NSE Main Board,135.64,,,🟢 Trading Active
Aegis Vopak Terminals Limited,AEGISVOPAK.NS,2025-06-02,2025,NSE Main Board,274.8,,,🟢 Trading Active
Aequs Limited,AEQUS.NS,2025-12-10,2025,NSE Main Board,259.85,,,🟢 Trading Active
Ajax Engineering Limited,AJAXENGG.NS,2025-02-17,2025,NSE Main Board,558.4,,,🟢 Trading Active
All Time Plastics Limited,ALLTIME.NS,2025-08-14,2025,NSE Main Board,213.99,,,🟢 Trading Active
Amanta Healthcare Limited,AMANTA.NS,2025-09-09,2025,NSE Main Board,172.29,,,🟢 Trading Active
Anand Rathi Share and Stock Brokers Limited,ARSSBL.NS,2025-09-30,2025,NSE Main Board,512.0,,,🟢 Trading Active
Anlon Healthcare Limited,AHCL.NS,2025-09-03,2025,NSE Main Board,14.63,,,🟢 Trading Active
Anthem Biosciences Limited,ANTHEM.NS,2025-07-21,2025,NSE Main Board,891.05,,,🟢 Trading Active
Arfin India Limited,ARFIN.NS,2025-07-22,2025,NSE Main Board,82.5,,,🟢 Trading Active
Arisinfra Solutions Limited,ARIS.NS,2025-06-25,2025,NSE Main Board,135.97,,,🟢 Trading Active
Ather Energy Limited,ATHERENERG.NS,2025-05-06,2025,NSE Main Board,1465.8,,,🟢 Trading Active
Atlanta Electricals Limited,ATLANTAELE.NS,2025-09-29,2025,NSE Main Board,1774.4,,,🟢 Trading Active
BMW Ventures Limited,BMWVENTLTD.NS,2025-10-01,2025,NSE Main Board,57.25,,,🟢 Trading Active
Bella Casa Fashion & Retail Limited,BELLACASA.NS,2025-07-18,2025,NSE Main Board,223.29,,,🟢 Trading Active
Belrise Industries Limited,BELRISE.NS,2025-05-28,2025,NSE Main Board,236.73,,,🟢 Trading Active
Beta Drugs Limited,BETA.NS,2025-11-24,2025,NSE Main Board,2355.0,,,🟢 Trading Active
Bharat Seats Limited,BHARATSE.NS,2025-03-24,2025,NSE Main Board,240.91,,,🟢 Trading Active
Billionbrains Garage Ventures Limited,GROWW.NS,2025-11-12,2025,NSE Main Board,193.81,,,🟢 Trading Active
BlueStone Jewellery and Lifestyle Limited,BLUESTONE.NS,2025-08-19,2025,NSE Main Board,820.4,,,🟢 Trading Active
Bluspring Enterprises Limited,BLUSPRING.NS,2025-06-11,2025,NSE Main Board,111.21,,,🟢 Trading Active
Borana Weaves Limited,BORANA.NS,2025-05-27,2025,NSE Main Board,315.2,,,🟢 Trading Active
Brigade Hotel Ventures Limited,BRIGHOTEL.NS,2025-07-31,2025,NSE Main Board,60.71,,,🟢 Trading Active
CORONA Remedies Limited,CORONA.NS,2025-12-15,2025,NSE Main Board,2119.4,,,🟢 Trading Active
Canara HSBC Life Insurance Company Limited,CANHLIFE.NS,2025-10-17,2025,NSE Main Board,149.27,,,🟢 Trading Active
Canara Robeco Asset Management Company Limited,CRAMC.NS,2025-10-16,2025,NSE Main Board,254.4,,,🟢 Trading Active
Capillary Technologies India Limited,CAPILLARY.NS,2025-11-21,2025,NSE Main Board,513.45,,,🟢 Trading Active
Capital India Finance Limited,CIFL.NS,2025-04-17,2025,NSE Main Board,20.93,,,🟢 Trading Active
Career Point Edutech Limited,CPEDU.NS,2025-09-05,2025,NSE Main Board,203.99,,,🟢 Trading Active
Chembond Chemicals Limited,CHEMBONDCH.NS,2025-07-23,2025,NSE Main Board,266.23,,,🟢 Trading Active
Crizac Limited,CRIZAC.NS,2025-07-09,2025,NSE Main Board,174.58,,,🟢 Trading Active
Cura Technologies Limited,CURAA.NS,2025-03-21,2025,NSE Main Board,69.74,,,🟢 Trading Active
Ddev Plastiks Industries Limited,DDEVPLSTIK.NS,2025-01-15,2025,NSE Main Board,272.75,,,🟢 Trading Active
Denta Water and Infra Solutions Limited,DENTA.NS,2025-01-29,2025,NSE Main Board,286.0,,,🟢 Trading Active
Dev Accelerator Limited,DEVX.NS,2025-09-17,2025,NSE Main Board,33.31,,,🟢 Trading Active
Digitide Solutions Limited,DIGITIDE.NS,2025-06-11,2025,NSE Main Board,98.08,,,🟢 Trading Active
Dr. Agarwal's Health Care Limited,AGARWALEYE.NS,2025-02-04,2025,NSE Main Board,502.6,,,🟢 Trading Active
EFC (I) Limited,EFCIL.NS,2025-08-20,2025,NSE Main Board,184.64,,,🟢 Trading Active
EPack Prefab Technologies Limited,EPACKPEB.NS,2025-10-01,2025,NSE Main Board,223.85,,,🟢 Trading Active
Ellenbarrie Industrial Gases Limited,ELLEN.NS,2025-07-01,2025,NSE Main Board,324.75,,,🟢 Trading Active
Emmvee Photovoltaic Power Limited,EMMVEE.NS,2025-11-18,2025,NSE Main Board,317.7,,,🟢 Trading Active
Euro Panel Products Limited,EUROBOND.NS,2025-08-01,2025,NSE Main Board,157.68,,,🟢 Trading Active
Euro Pratik Sales Limited,EUROPRATIK.NS,2025-09-23,2025,NSE Main Board,274.3,,,🟢 Trading Active
Excelsoft Technologies Limited,EXCELSOFT.NS,2025-11-26,2025,NSE Main Board,72.59,,,🟢 Trading Active
Fabtech Technologies Limited,FABTECH.NS,2025-10-07,2025,NSE Main Board,145.73,,,🟢 Trading Active
Finkurve Financial Services Limited,FINKURVE.NS,2025-10-01,2025,NSE Main Board,78.19,,,🟢 Trading Active
Fischer Medical Ventures Limited,FISCHER.NS,2025-07-10,2025,NSE Main Board,38.13,,,🟢 Trading Active
Fujiyama Power Systems Limited,UTLSOLAR.NS,2025-11-20,2025,NSE Main Board,468.3,,,🟢 Trading Active
GK Energy Limited,GKENERGY.NS,2025-09-26,2025,NSE Main Board,123.72,,,🟢 Trading Active
GNG Electronics Limited,EBGNG.NS,2025-07-30,2025,NSE Main Board,570.7,,,🟢 Trading Active
Ganesh Consumer Products Limited,GANESHCP.NS,2025-09-29,2025,NSE Main Board,165.38,,,🟢 Trading Active
Gem Aromatics Limited,GEMAROMA.NS,2025-08-26,2025,NSE Main Board,170.1,,,🟢 Trading Active
Globe Civil Projects Limited,GLOBECIVIL.NS,2025-07-01,2025,NSE Main Board,44.62,,,🟢 Trading Active
Glottis Limited,GLOTTIS.NS,2025-10-07,2025,NSE Main Board,64.99,,,🟢 Trading Active
Gretex Corporate Services Limited,GCSL.NS,2025-09-04,2025,NSE Main Board,512.3,,,🟢 Trading Active
Gujarat Kidney And Super Speciality Limited,GKSL.NS,2025-12-30,2025,NSE Main Board,153.46,,,🟢 Trading Active
Gujarat Themis Biosyn Limited,GUJTHEM.NS,2025-02-25,2025,NSE Main Board,371.3,,,🟢 Trading Active
HDB Financial Services Limited,HDBFS.NS,2025-07-02,2025,NSE Main Board,698.15,,,🟢 Trading Active
Hexaware Technologies Limited,HEXT.NS,2025-02-19,2025,NSE Main Board,552.75,,,🟢 Trading Active
Highway Infrastructure Limited,HILINFRA.NS,2025-08-12,2025,NSE Main Board,46.3,,,🟢 Trading Active
ICICI Prudential Asset Management Company Limited,ICICIAMC.NS,2025-12-19,2025,NSE Main Board,3106.0,,,🟢 Trading Active
ITC Hotels Limited,ITCHOTELS.NS,2025-01-29,2025,NSE Main Board,164.43,,,🟢 Trading Active
Indef Manufacturing Limited,BAJAJINDEF.NS,2025-02-21,2025,NSE Main Board,213.13,,,🟢 Trading Active
Indiqube Spaces Limited,INDIQUBE.NS,2025-07-30,2025,NSE Main Board,187.12,,,🟢 Trading Active
Indo Farm Equipment Limited,INDOFARM.NS,2025-01-07,2025,NSE Main Board,143.33,,,🟢 Trading Active
Indogulf Cropsciences Limited,IGCL.NS,2025-07-03,2025,NSE Main Board,72.09,,,🟢 Trading Active
Ishan Dyes and Chemicals Limited,ISHANCH.NS,2025-03-24,2025,NSE Main Board,47.04,,,🟢 Trading Active
Ivalue Infosolutions Limited,IVALUE.NS,2025-09-25,2025,NSE Main Board,280.3,,,🟢 Trading Active
JSW Cement Limited,JSWCEMENT.NS,2025-08-14,2025,NSE Main Board,127.31,,,🟢 Trading Active
Jain Resource Recycling Limited,JAINREC.NS,2025-10-01,2025,NSE Main Board,296.2,,,🟢 Trading Active
Jaro Institute of Technology Management and Research Limited,JARO.NS,2025-09-30,2025,NSE Main Board,445.5,,,🟢 Trading Active
Jaykay Enterprises Limited,JAYKAY.NS,2025-12-03,2025,NSE Main Board,154.53,,,🟢 Trading Active
Jeena Sikho Lifecare Limited,JSLL.NS,2025-08-11,2025,NSE Main Board,507.95,,,🟢 Trading Active
Jinkushal Industries Limited,JKIPL.NS,2025-10-03,2025,NSE Main Board,97.28,,,🟢 Trading Active
Jubilant Agri and Consumer Products Limited,JUBLCPL.NS,2025-02-14,2025,NSE Main Board,2199.1,,,🟢 Trading Active
KN Agri Resources Limited,KNAGRI.NS,2025-12-09,2025,NSE Main Board,212.8,,,🟢 Trading Active
KSH International Limited,KSHINTL.NS,2025-12-23,2025,NSE Main Board,999.45,,,🟢 Trading Active
KSR Footwear Limited,KSR.NS,2025-11-27,2025,NSE Main Board,28.47,,,🟢 Trading Active
Kalpataru Limited,KALPATARU.NS,2025-07-01,2025,NSE Main Board,280.65,,,🟢 Trading Active
Krishival Foods Limited,KRISHIVAL.NS,2025-06-20,2025,NSE Main Board,355.75,,,🟢 Trading Active
Krishna Defence And Allied Industries Limited,KRISHNADEF.NS,2025-12-30,2025,NSE Main Board,1125.0,,,🟢 Trading Active
LG Electronics India Limited,LGEINDIA.NS,2025-10-14,2025,NSE Main Board,1649.4,,,🟢 Trading Active
Laxmi Dental Limited,LAXMIDENTL.NS,2025-01-20,2025,NSE Main Board,198.39,,,🟢 Trading Active
Laxmi India Finance Limited,LAXMIINDIA.NS,2025-08-05,2025,NSE Main Board,131.38,,,🟢 Trading Active
Le Merite Exports Limited,LEMERITE.NS,2025-12-12,2025,NSE Main Board,23.01,,,🟢 Trading Active
Leela Palaces Hotels & Resorts Limited,THELEELA.NS,2025-06-02,2025,NSE Main Board,519.15,,,🟢 Trading Active
Lenskart Solutions Limited,LENSKART.NS,2025-11-10,2025,NSE Main Board,628.4,,,🟢 Trading Active
M & B Engineering Limited,MBEL.NS,2025-08-06,2025,NSE Main Board,284.35,,,🟢 Trading Active
Magellanic Cloud Limited,MCLOUD.NS,2025-02-07,2025,NSE Main Board,28.85,,,🟢 Trading Active
Mangal Electrical Industries Limited,MEIL.NS,2025-08-28,2025,NSE Main Board,268.7,,,🟢 Trading Active
Mangalam Worldwide Limited,MWL.NS,2025-09-18,2025,NSE Main Board,40.72,,,🟢 Trading Active
Markolines Pavement Technologies Limited,MARKOLINES.NS,2025-10-14,2025,NSE Main Board,171.62,,,🟢 Trading Active
Meesho Limited,MEESHO.NS,2025-12-10,2025,NSE Main Board,192.95,,,🟢 Trading Active
Midwest Limited,MIDWESTLTD.NS,2025-10-24,2025,NSE Main Board,1159.4,,,🟢 Trading Active
Modi Naturals Limited,MODINATUR.NS,2025-12-11,2025,NSE Main Board,361.65,,,🟢 Trading Active
Modis Navnirman Limited,MODIS.NS,2025-11-14,2025,NSE Main Board,408.8,,,🟢 Trading Active
Moneyboxx Finance Limited,MONEYBOXX.NS,2025-10-15,2025,NSE Main Board,56.15,,,🟢 Trading Active
Moschip Technologies Limited,MOSCHIP.NS,2025-02-05,2025,NSE Main Board,209.0,,,🟢 Trading Active
NIBE Limited,NIBE.NS,2025-02-07,2025,NSE Main Board,1444.4,,,🟢 Trading Active
National Securities Depository Limited,NSDL.BO,2025-08-06,2025,BSE Main Board,806.2,,,🟢 Trading Active
Natural Capsules Limited,NATCAPSUQ.NS,2025-02-14,2025,NSE Main Board,146.59,,,🟢 Trading Active
Navkar Urbanstructure Limited,NAVKARURB.NS,2025-01-17,2025,NSE Main Board,0.98,,,🟢 Trading Active
Nephrocare Health Services Limited,NEPHROPLUS.NS,2025-12-17,2025,NSE Main Board,699.1,,,🟢 Trading Active
Network People Services Technologies Limited,NPST.NS,2025-04-30,2025,NSE Main Board,1591.0,,,🟢 Trading Active
Om Freight Forwarders Limited,OMFREIGHT.NS,2025-10-08,2025,NSE Main Board,94.2,,,🟢 Trading Active
Onesource Specialty Pharma Limited,ONESOURCE.NS,2025-01-24,2025,NSE Main Board,1542.3,,,🟢 Trading Active
Orchasp Limited,ORCHASP.NS,2025-02-07,2025,NSE Main Board,1.42,,,🟢 Trading Active
Orkla India Limited,ORKLAINDIA.NS,2025-11-06,2025,NSE Main Board,545.55,,,🟢 Trading Active
Oswal Pumps Limited,OSWALPUMPS.NS,2025-06-20,2025,NSE Main Board,297.95,,,🟢 Trading Active
Pace Digitek Limited,PACEDIGITK.NS,2025-10-06,2025,NSE Main Board,176.66,,,🟢 Trading Active
Park Medi World Limited,PARKHOSPS.NS,2025-12-17,2025,NSE Main Board,276.85,,,🟢 Trading Active
Pashupati Cotspin Limited,PASHUPATI.NS,2025-07-17,2025,NSE Main Board,85.32,,,🟢 Trading Active
Patel Retail Limited,PATELRMART.NS,2025-08-26,2025,NSE Main Board,228.5,,,🟢 Trading Active
Paushak Limited,PAUSHAKLTD.NS,2025-12-01,2025,NSE Main Board,752.35,,,🟢 Trading Active
Physicswallah Limited,PWL.NS,2025-11-18,2025,NSE Main Board,122.05,,,🟢 Trading Active
Piccadily Agro Industries Limited,PICCADIL.NS,2025-07-02,2025,NSE Main Board,692.85,,,🟢 Trading Active
Pine Labs Limited,PINELABS.NS,2025-11-14,2025,NSE Main Board,160.32,,,🟢 Trading Active
Piramal Finance Limited,PIRAMALFIN.NS,2025-11-07,2025,NSE Main Board,2060.5,,,🟢 Trading Active
Prabha Energy Limited,PRABHA.NS,2025-03-19,2025,NSE Main Board,192.2,,,🟢 Trading Active
Primo Chemicals Limited,PRIMO.NS,2025-04-22,2025,NSE Main Board,22.98,,,🟢 Trading Active
Prostarm Info Systems Limited,PROSTARM.NS,2025-06-03,2025,NSE Main Board,132.22,,,🟢 Trading Active
Protean eGov Technologies Limited,PROTEAN.NS,2025-02-06,2025,NSE Main Board,551.75,,,🟢 Trading Active
Quadrant Future Tek Limited,QUADFUTURE.NS,2025-01-14,2025,NSE Main Board,341.0,,,🟢 Trading Active
Quality Power Electrical Equipments Limited,QPOWER.NS,2025-02-24,2025,NSE Main Board,1325.1,,,🟢 Trading Active
R M Drip and Sprinklers Systems Limited,RMDRIP.NS,2025-07-30,2025,NSE Main Board,17.27,,,🟢 Trading Active
R&B Denims Limited,RNBDENIMS.NS,2025-09-04,2025,NSE Main Board,8.46,,,🟢 Trading Active
Rajoo Engineers Limited,RAJOOENG.NS,2025-05-29,2025,NSE Main Board,50.87,,,🟢 Trading Active
Raymond Realty Limited,RAYMONDREL.NS,2025-07-01,2025,NSE Main Board,578.0,,,🟢 Trading Active
Regaal Resources Limited,REGAAL.NS,2025-08-20,2025,NSE Main Board,99.53,,,🟢 Trading Active
Rhetan TMT Limited,RHETAN.NS,2025-09-26,2025,NSE Main Board,21.43,,,🟢 Trading Active
Rubicon Research Limited,RUBICON.NS,2025-10-16,2025,NSE Main Board,1804.1,,,🟢 Trading Active
Rudra Global Infra Products Limited,RUDRA.NS,2025-12-19,2025,NSE Main Board,22.97,,,🟢 Trading Active
SG Finserve Limited,SGFIN.NS,2025-08-05,2025,NSE Main Board,668.45,,,🟢 Trading Active
SG Mart Limited,SGMART.NS,2025-09-12,2025,NSE Main Board,804.95,,,🟢 Trading Active
SKF India (Industrial) Limited,SKFINDUS.NS,2025-12-05,2025,NSE Main Board,2667.6,,,🟢 Trading Active
STL Networks Limited,STLNETWORK.NS,2025-09-04,2025,NSE Main Board,25.68,,,🟢 Trading Active
Saatvik Green Energy Limited,SAATVIKGL.NS,2025-09-26,2025,NSE Main Board,401.45,,,🟢 Trading Active
Sambhv Steel Tubes Limited,SAMBHV.NS,2025-07-02,2025,NSE Main Board,124.34,,,🟢 Trading Active
Scoda Tubes Limited,SCODATUBES.NS,2025-06-04,2025,NSE Main Board,128.91,,,🟢 Trading Active
Seshaasai Technologies Limited,STYL.NS,2025-09-30,2025,NSE Main Board,393.95,,,🟢 Trading Active
Shanti Gold International Limited,SHANTIGOLD.NS,2025-08-01,2025,NSE Main Board,253.85,,,🟢 Trading Active
